Festival Name,Start Date,End Date,2027 Dates (if applicable),Location,Type,Website,Organiser/Contact ,Contact email ,Contact Phone,Email sent?
Jim Thorpe Porchfest,6/20/2026,,,"Jim Thorpe, PA",Music,https://www.instagram.com/p/DXXiGDtk1G5/,Pocono Mountains Vistors Bureau,info@JimThorpe.org,570-844-2001,FALSE
June Philly Fair 250,6/20/2026,6/22/2026,,Centennial District,Block Parties,https://july4thphilly.com/event/philly-fair-250-day-1/,"Welcome America, Inc",information@welcomeamerica.com,,FALSE
Juneteenth Wine and Arts Festival,6/20/2026,,,"Cherry Street Pier, 121 N Columbus Blvd, Philadelphia, PA 19106.",Multi-Genre,https://www.cherrystreetpier.com/event/2026/01/juneteenth-wellness-arts-festival-2026/,Shekhinah B. of  The Women’s Coalition for Empowerment,info@thewce.org,,FALSE
Lakou Haitian Cultural Celebration and Market,6/20/2026,,,"The Discovery Center, 3401 Reservoir Drive, Philadelphia, PA 19121",Cultural Heritage,https://www.eventbrite.com/e/lakou-philly-haitian-cultural-celebration-market-tickets-1989625343963#organizer-card,PATAJE Collective,DM on instagram,,FALSE
Linvilla Orchards Summer Foodtruck Frenzy,6/20/2026,6/21/2026,,"137 W Knowlton Rd, Media, PA 19063",Food & Drink,https://www.linvilla.com/family-fun/food-truck-frenzy,Linvilla Orchards,info@linvilla.com,610-876-7116,FALSE
Philly Caribbean Carnival,6/20/2026,,"June 18–20, 2027","Chamounix Dr, Fairmount Park",Cultural Heritage,https://www.philadelphiacarnival.com/,United Caribbean Association of Philadelphia (UCAP),ucaphila@gmail.com,,FALSE
Pride at the Park,6/20/2026,,,"80 Windsor Ave, Narberth, PA 19072",Multi-Genre,https://prideatthepark.org/,Pride at the Park,prideatthepark@gmail.com,,FALSE
TFI Block Party: A Summer Celebration,6/20/2026,,,"The Franklin Institute, 222 N 20th St, Philadelphia, PA 19103",Block Parties,https://fi.edu/en/events-calendar/20260620/franklin-institute-block-party-summer-event-philadelphia,The Franklin Institute,guestservices@fi.edu,215.448.1200,FALSE
The Wine Cup,6/20/2026,,,"Navy Yard, Philadelphia, PA",Food & Drink,https://pennsylvaniawine.com/events/the-wine-cup,Shakia Williams,info@cyrenitysips.com,(267) 387-8405,FALSE
Two Locals Juneteenth Cookout,6/20/2026,,,"The Lawn at uCity Square, 37th & Cuthbert Street, Philadelphia, PA 19104",Multi-Genre,https://ucitysquare.com/event/juneteenth-cookout-2026/,Two Locals,info@twolocalsbrewing.com,,FALSE
Up South Street Festival ,6/20/2026,,,1500 South Street,Street Fairs,https://goodthingsphl.com/thing/up-south-street-festival-,Vicarious Love ,kwan@umbriaarts.com,,FALSE
Family Art Festival,6/21/2026,,,"Lenfest Plaza, 128 N Broad St, Philadelphia, PA",Arts & Crafts,https://www.pafa.org/events/2026-family-art-festival-062126,PAFA,arteducation@pafa.edu,,FALSE
Interna$honal Bounce Fest,6/21/2026,,,"Spruce St. Harbor Park, 301 S Christopher Columbus Blvd, Philadelphia, PA 19106",Music,https://www.internashionalbounce.com/,Internashional Bounce,hello@internashionalbounce.com,,FALSE
Juneteenth Parade and Festival,6/21/2026,,,"Malcolm X Park, 5100 Pine St, Philadelphia, PA 19143.",Cultural Heritage,https://www.juneteenthphilly.org/,Juneteenth Philly,info@juneteenthphilly.org,,FALSE
World Music Day 2026,6/21/2026,,,"West Chester, PA",Music,https://www.facebook.com/DowntownWestChester/posts/pfbid02HUJrFKRrUYt5SMMAxCefBr2k9dUm16fpUEzCM8rfXfrAgveYtXiUJhj7UCq53Fykl,"Downtown West Chester, PA",jobrien@wcbid.com,(610) 738-3350,FALSE
Annual Marketplace on the Waterfront ,6/27/2026,,,"Cooper River Park (Subaru Pavilion), 941 Park Blvd, Cherry Hill, NJ",Street Fairs,https://www.instagram.com/reel/DZV7VJ8Jf6N/,Abkinah’s Islamic Boutique,DM on instagram,(856) 739-4981,FALSE
Concilio Annual Hispanic Fiesta,6/27/2026,,,"LOVE Park (JFK Plaza), Arch St, Philadelphia, PA 19102",Cultural Heritage,https://elconcilio.net/event/concilios-annual-hispanic-fiesta-2026/,El Concilio (Council of Spanish Speaking Orgs.),concilioculturalevents@elconcilio.net / info@elconcilio.net,215) 627-3100,FALSE
Culturefest Philly,6/27/2026,,,"211 S. Columbus Blvd. Philadelphia, PA 19106",Cultural Heritage,https://www.instagram.com/CULTUREFESTPHL/,Kabila Events,kabilaevents@gmail.com,,FALSE
Germantown Night Market,6/27/2026,,,"5500 Germantown Ave, Philadelphia, PA 19144",Street Fairs,https://www.instagram.com/p/DVY8FoDEezm/,Maplewood Collective,maplewoodcollective@gmail.com,,FALSE
Kensington Queer Circus Fest,6/27/2026,,,"Philadelphia Brewing Company, 2440 Frankford Ave, Philadelphia, PA 19125",Multi-Genre,https://weirdo.pizza/,WEIRDO,creepymozzarella@weirdo.pizza,,FALSE
Let Love Win RnB Festival,6/27/2026,,,"Middletown, DE",Music,https://www.instagram.com/letlovewinrnb/,Motivated Money Makers,DM on instagram,,FALSE
Manayunk Arts Festival,6/27/2026,6/28/2026,,"Main St, Manayunk, Philadelphia, PA 19127",Arts & Crafts,https://manayunk.com/events/manayunk-arts-festival.html,Manayunk Development Corporation,info@manayunk.org,215) 482-9565,FALSE
Wadsworth Day Festival,6/27/2026,,,"1500-1700 Block of Wadsworth Avenue, Philadelphia, PA",Street Fairs,https://www.facebook.com/phillipsdist9/posts/-wadsworth-day-is-5-days-away-the-countdown-is-officially-onin-just-5-days-wadsw/1026542386973189/,Councilman Anthony Phillips,anthony.phillips@phila.gov,(215) 686-3454,FALSE
Bucks-Mont PRIDE Festival,6/28/2026,,,"Abington Art Center, 515 Meetinghouse Road, Jenkintown, PA 19046",Multi-Genre,https://www.bucksmontpride.com/,The Welcome Project,info@welcomeprojectpa.com,,FALSE
"Red, White, & Blue To Do Pomp & Parade",7/2/2026,,,"The Lawn at uCity Square, 37th & Warren St, Philadelphia, PA 19104",,https://july4thphilly.com/event/red-white-and-blue-to-do/,Wawa Welcome America: Philadelphia 2026,"Unknown, try social media on website.",,FALSE
Headhouse Square Vintage and Antique Flea Market,7/4/2026,,,,,,,,,FALSE
The People's Parade,7/4/2026,,,,,,,,,FALSE
Wawa Welcome America Festival,7/4/2026,,,"Citywide, with the July 4th concert on the Benjamin Franklin Parkway",,https://july4thphilly.com/,See above,,,FALSE
Celebrate Mantua,7/11/2026,,,"Miles Mack Playground, 732 N 36th St #66, Philadelphia, PA 19104",,https://www.celebratemantua.com/,DANCE IQUAIL!,Iquail@danceiquail.org,,FALSE
Haddonfield Fine Arts Festival,7/11/2026,7/12/2026,,"Kings Highway and Tanner Streets, Haddonfield, NJ",,https://www.haddonfield2026.com/events/32nd-annual-haddonfield-crafts-and-fine-art-festival-2026-07-11-11-00,"Borough of Haddonfield, NJ","Unknown, try DM on Facebook or Instagram",,FALSE
Lemon Drop Festival,7/11/2026,,,"Malcolm X Park, 5100 Pine St, Philadelphia, PA 19143",,https://lemondropfestival.com/about-the-festival-1,Lemon Drop Festival,"Unknown, try DM on Instagram",,FALSE
Philadelphia African Restaurant Week Festival,7/11/2026,,,"LOVE Park, 1599 John F Kennedy Blvd, Philadelphia, PA 19102",,https://africanrestaurantweek.com/philadelphia/,African Restaurant Week,Connect@africanrestaurantweek.com,,FALSE
Philly Phlotilla,7/11/2026,,,,,,,,,FALSE
Barnes on the Block,7/12/2026,,,"Barnes Foundation, Philadelphia, PA",,https://www.barnesfoundation.org,The Barnes Foundation,"Unknown, try social media",,FALSE
South Jersey Carribean Festival,7/12/2026,,,"Wiggins Waterfront Park, 2 Riverside Dr, Camden, NJ 08103",,https://sjcaribbean.org/,South Jersey Carribean,sjcaribbean@gmail.com,,FALSE
Rico Rico Fiesta,7/17/2026,7/19/2026,,"Greater Philadelphia Expo Center, Oaks, PA",,https://www.ricoricofiesta.us/,Rico Rico Fiesta,guestservice@ricoricofiesta.us,,FALSE
6th Annual Frankford Day,7/18/2026,,,,,,,,,FALSE
All Love Block Party,7/18/2026,,,"4th District Container VIllage, Philadelphia, PA",,https://allloveblockparty.com/,Black Soul Summer,info@blacksoulsummer.com,,FALSE
Bomba y Plena Cultural Festival,7/18/2026,,,"1801 N 2nd St, Philadelphia, PA, 19134",,https://www.phillybombaplena.com/,Philadelphia BombaPlena Cultural Center,Use contact box,,FALSE
Harrah's Phileadelphia Fireworks & Foodie Festival,7/18/2026,,,,,,,,,FALSE
Ocean Casino's Water Ice Festival ,7/18/2026,,,,,,,,,FALSE
Philadelphia Zoo Summer Ale Festival,7/18/2026,,,"Philadelphia Zoo, 3400 W Girard Ave, Philadelphia, PA 19104",,https://www.philadelphiazoo.org/events/summer-ale-festival/,Philadelphia Zoo,Use contact box,,FALSE
Summer Souq Sisterhood Event,7/18/2026,,,"Mander Playground, 33rd and Diamond Streets, Philadelphia, PA",Multi-Genre,https://www.instagram.com/p/DXX5_-GlDDz/ ,She Promotions Group,DM on instagram,,FALSE
Summerfest at Plazza Alta,7/18/2026,,,,,,,,,FALSE
Under the El Bazaar,7/18/2026,,,,,,,,,FALSE
Wicked Gluten Free Expo,7/18/2026,,,,,,,,,FALSE
Annual Marketplace on the Waterfront ,7/19/2026,,,"Cooper River Park (Subaru Pavilion), 941 Park Blvd, Cherry Hill, NJ",Street Fairs,https://www.instagram.com/p/Da1DeTkp7ST/,Abkinah’s Islamic Boutique,DM on instagram,(856) 739-4981,FALSE
Lancaster Avenue Jazz & Arts Festival,7/19/2026,,,"Saunders Park Greene, 39th St & Powelton Ave, Philadelphia, PA 19104",,https://www.hopephl.org/lancaster-avenue-jazz-festival.html,HopePHL,hello@hopephl.org,,FALSE
Philly Youth Music Festival,7/19/2026,,,,,,,,,FALSE
Math Festival,7/24/2026,,,,,,,,,FALSE
Air Sick Summer Festival,7/25/2026,7/26/2026,,,,,,,,FALSE
ARRAIA AT KOUKLET ,7/25/2026,,,,,,,,,FALSE
Arte en las Calles,7/25/2026,,,,,,,,,FALSE
Belfield Day Community Block Party,7/25/2026,,,,,,,,,FALSE
Jazzing on Ridge Festival,7/25/2026,,,2200 Block of Ridge Avenue,,https://jazzinonridge.com/,Lower North Philadelphia Community Development Corporation,Unknown,,FALSE
SUMMER FEST PHILLY! for Autism Speaks,7/25/2026,,,,,,,,,FALSE
Night Out on 9th,7/31/2026,,,,,,,,,FALSE
Allegheny Arts Avenue,8/1/2026,,,,,,,,,FALSE
Annual Free Fest,8/1/2026,,,,,,,,,FALSE
La Placita Fest,8/1/2026,,,,,,,,,FALSE
Philadelphia Freefest,8/1/2026,,,"Likely Philadelphia Navy Yard, 4747 S Broad St, Philadelphia, PA",,https://www.phillyfreefest.org/,Freedom Thinkers Inc.,Use Contact Box,,FALSE
Tacony Summer Arts,8/1/2026,,,,,,,,,FALSE
2nd Street Fest,8/2/2026,,,"2nd Street, Throughout Northern Liberties Neighborhood, Philadelphia, PA",,https://www.2ndstfestival.org/,Northern Liberties Arts and Commerce Alliance,info@2ndstfestival.org,,FALSE
Blackstar Film Festival,8/6/2026,8/9/2026,,citywide; 2025 venues include Cherry Street Pier and partner institutions on/near the Parkway,,https://blackstarprojects.org/festival,Blackstar,star@blackstarprojects.org,,FALSE
24th Annual Giveback Festival,8/7/2026,8/8/2026,,,,,,,,FALSE
Nicetown 24th Annual Give Back Community Festival,8/7/2026,8/8/2026,,"4300 Block of Germantown Ave, Philadelphia, PA",,https://nicetowncdc.org/,Nicetown Community Development Corporation,info@nicetowncdc.org,,FALSE
Avant Blk Festival at Cherry St Pier,8/8/2026,,,,,,,,,FALSE
Port Richmond Perogifest,8/8/2026,,,"Campbell Square Park, 2535 E Allegheny Ave, Philadelphia, PA 19134",,https://www.facebook.com/PortRichmondPierogiFest/,State Street Events LLC,Mellisa@StateStreetEvents.org,,FALSE
Rox the Block,8/8/2026,,,,,,,,,FALSE
West Philly Futures Fest,8/9/2026,,,,,,,,,FALSE
62nd Philadelphia Folk Festival,8/14/2026,8/16/2026,,"Old Pool Farm, 1323 Salford Station Rd, Schwenksville, PA 19473",,https://folkfest.org/,Philadelphia Folksong Society,See contacts on contact page,,FALSE
9th Annual Philadelphia Taco Festival,8/15/2026,8/16/2026,,"Stateside Live, 1100 Pattison Ave, Philadelphia, PA",,,,,,FALSE
Collingswood Craft and Fine Art Festival,8/15/2026,8/16/2026,,"Haddon Ave (Downtown Collingswood), Collingswood, NJ",,https://www.collingswoodcraftsandfineartfestival.com/,Collingswood Crafts and Fine Arts Festival,Use Contact Box,,FALSE
Limerick Community Day,8/15/2026,,,"180 Swamp Pike, Royersford, PA 19468-1428, United States",,,,,,FALSE
Litapendence Day,8/15/2026,,,,,,,,,FALSE
Young Got Flavors Food Festival,8/15/2026,,,"Penn Treaty Park, Philadelphia, PA",,,,,,FALSE
5th Annual Community in Action Festival,8/22/2026,,,,,,,,,FALSE
Delco Chalk Fest,8/22/2026,8/23/2026,,,,,,,,FALSE
Friends of FDR Park Summer Music Festival,8/22/2026,,,"FDR Park, Philadelphia, PA",,,,,,FALSE
Highmark Mann Milestone Mashup,8/22/2026,,,"5201 Parkside Avenue, Fairmount Park, Philadelphia, PA 19131",,,,,,FALSE
Ukranian Independence Folk Festival,8/23/26,,,"Ukrainian American Sport Center “Tryzub”, 1 Lower State Rd, North Wales/Horsham, PA 19454",Cultural Heritage,https://tryzub.org/,Ukrainian American Sport Center “Tryzub”,@tryzubua,,FALSE
Philadelphia Zoo Art Festival,8/29/2026,,,"Philadelphia Zoo, Philadelphia, PA",,,,,,FALSE
59th Annual Polish American Family Festival & Country Fair,9/5/2026,9/13/2026,,"National Shrine of Our Lady of Czestochowa, 654 Ferry Rd, Doylestown, PA 18901",,,,,,FALSE
Kennet Square Mushroom Festival,9/6/2026,9/7/2026,,,Food & Drink,,,,,FALSE
Brazilian Day Philadelphia,9/7/2026,,,,,,,,,FALSE
La Feria del Barrio ,9/7/2026,,,,,,,,,FALSE
Philadelphia Fringe Festival,9/8/2026,9/27/2026,,"Citywide; Headquarters at FringeArts, 140 N Columbus Blvd, Philadelphia, PA 19106",,,,,,FALSE
Uptown Rhythm Festival,9/10/2026,,,,,,,,,FALSE
Brandywine Festival of the Arts,9/12/2026,,,,,,,,,FALSE
Bristol Lions Italian Festival,9/12/2026,,,,,,,,,FALSE
Doylestown Arts Festival,9/12/2026,9/13/2026,,"Downtown Doylestown (State & Main Streets), Doylestown, PA",,,,,,FALSE
Germantown Avenue Food Truck Festival,9/12/2026,,,"5400 block of Germantown Ave, Philadelphia, PA 19144",,,,,,FALSE
Latin American Book Fair,9/12/2026,,,"Kimmel Cultural Campus, 300 S Broad St, Philadelphia, PA 19102",,,,,,FALSE
Philadelphia Honey Festival,9/12/2026,,,"6026 Germantown Avenue, Philadelphia, PA 19144",,,,,,FALSE
Root 2 Fruit Festival,9/12/2026,,,"Cira Green, 129 S 30th St, Philadelphia, PA 19104",,,,,,FALSE
Spring Garden Sunflower Festival,9/12/2026,,,1700 to 1800 Fairmount Avenue,,,,,,FALSE
Philly Black Wine and Spirits Fest,9/13/2026,,,"Billy Penn Studios, 1516 N 5th St, Philadelphia, PA 19122.",Food & Drink,https://www.phillyblackwinefest.com/,Kabila Events (Producer),contact@kabilaevents.com,,FALSE
Mercer County Italian-American Festival,9/18/2026,9/20/2026,,"Mercer County Park Festival Grounds, West Windsor Township, NJ 08550",,,,,,FALSE
Rittenhouse Square Fine Art Show (September),9/18/2026,9/20/2026,,"Rittenhouse Square, 1800 Walnut St, Philadelphia, PA 19103",,,,,,FALSE
XPoNential Music Festival,9/18/2026,9/20/2026,,"Wiggins Park & Marina, 2 Riverside Dr, Camden, NJ 08103",,,,,,FALSE
48 Blocks Festival,9/19/2026,,,"Atlantic City, NJ",,,,,,FALSE
Conshohocken Fun Fest,9/19/2026,,,"Fayette Street, Conshohocken, PA",,,,,,FALSE
Making Time ,9/19/2026,9/21/2026,,,Arts & Crafts,,,,,FALSE
Mt Airy Porch Fest,9/19/2026,,,"Mt. Airy, Philadelphia, PA",,,,,,FALSE
Philadelphia Collegefest,9/19/2026,,,TBD,,,,,,FALSE
Sazon Latin Food Festival,9/19/2026,,,"Two Locals Brewing
3701 Market St, Philadelphia, PA 19104-5500",,,,,,FALSE
We Are the Seeds Philly (Indigenous Arts),9/19/2026,9/20/2026,,"Cherry Street Pier, 121 N Columbus Blvd, Philadelphia, PA 19106",,,,,,FALSE
Yardley Harvest Day,9/19/2026,,,"1548 Brock Creek Dr, Morrisville, PA 19067-5603, United States",,,,,,FALSE
K-12 Philly Festival Trade Fair,9/20/2026,,,"Pennsylvania Convention Center, 1101 Arch St, Philadelphia, PA",,https://elevate215.org/news/first-ever-k-12-school-fair-is-philadelphias-largest-education-event-for-families-to-learn-more-about-how-to-apply-to-schools/,GreatPhillySchools + partners,,,FALSE
Upper Darby International Festival,9/20/2026,,,,Cultural Heritage,,,,,FALSE
Woodford Apple and Pawpaw Festival,9/20/2026,,,,Food & Drink,,,,,FALSE
Foodees Food & Cultural Festival - Rehoboth Beach,9/25/2026,9/27/2026,,"Rehoboth Beach Bandstand, 1 Rehoboth Ave, Rehoboth Beach, DE 19971",,,,,,FALSE
21st Anniversary Block Party,9/26/2026,,,,,,,,,FALSE
Kensington Crankie Fest,9/26/2026,,,,,,,,,FALSE
Omo Naija Festival,9/26/2026,,,TBD,,,,,,FALSE
South Street Fall Festival,9/26/2026,,,"South St., more information TBD",,,,,,FALSE
Delaware Taco Festival,9/27/2026,,,"Tubman Garrett Riverfront Park, Wilmington, DE",,,,,,FALSE
Jenkintown Festival of the Arts,9/27/2026,,,"Greenwood Ave & Leedom St., Jenkintown, PA",Arts & Crafts,https://festivalofthearts.jenkintown.net/,Jenkintown Community Alliance,hello@jenkintown.net,,FALSE
Linvilla's Orchards Apple Festival,9/27/2026,,,137 W. Knowlton Rd. Media ,Food & Drink,https://www.linvilla.com/family-fun/apple-festival | https://instagram.com/linvillaorchards,Linvilla Orchards,questions@linvilla.com,610-876-7116,FALSE
Philly Halal Food Festival,9/27/2026,,,"usually Greater Philadelphia Expo Center, Phoenixville, PA (outside city).",Food & Drink,https://www.phillyhalalfoodfest.com/event-details-registration/tickets,Philly Halal Food Festival; “Integritty Group”,4roosters.co@gmail.com,267) 255-0898,FALSE
South Street October Fest,9/27/2026,,,718 South St ,Food & Drink,https://brauhausschmitz.com/oktoberfest | https://southstreet.com/events/oktoberfest,Brauhaus Schmitz & South Street Headhouse District,brauhausschmitz@gmail.com,267-909-8814,FALSE
Stratford Fall Festival,9/27/2026,,,"111 Warwick Rd, Stratford, NJ 08084-1623, United States",,,,,,FALSE
Puerto Rican Day Parade,9/28/2026,,,2451 Benjamin Franklin Parkway ,Cultural Heritage,https://elconcilio.net/event/annual-puerto-rican-day-parade/,Concilio (Council of Spanish‑Speaking Orgs of Philadelphia),concilioculturalevents@elconcilio.net,215-627-3100,FALSE
Park(ing) Day,9/29/2026,,,Citywide pop-up “parklets” in curbside parking spaces (no single venue); primarily in Center City & nearby neighborhoods,,,,,,FALSE
DesignPhiladelphia,10/1/2026,10/11/2026,,"Center for Architecture & Design, 1218 Arch St, Philadelphia, PA 19107",,,,,,FALSE
Celtic Heritage Day Festival,10/3/2026,,,"Between Mill and Radcliffe Streets, Bristol, PA",,,,,,FALSE
Homegrown First Friday at Plant and People,10/3/2026,,,,,,,,,FALSE
The Shops at Valley Square Fall Festival,10/3/2026,,,"Route 611 & Street Rd, Warrington, PA, United States, Pennsylvania 18976",,,,,,FALSE
13th Annual Roxtoberfest,10/4/2026,,,,,,,,,FALSE
Mid Autumn Festival,10/4/2026,,,,,,,,,FALSE
One Art Jazz Day,10/4/2026,,,"One Art Community Center, 1431-39 N 52nd St, Philadelphia, PA 19131",Music,https://www.oneart.love/event-details/one-art-jazz-day,The Heart Of Jazz,,,FALSE
St. Nicholas of Tolentine Italian Festival,10/5/2026,,,,,,,,,FALSE
Philadelphia Open Studio Tours (POST)- West of Broad,10/10/2026,10/11/2026,,Various locations,,,,,,FALSE
Get Ready Fest in North Philly,10/11/2026,,,,,,,,,FALSE
North Philly Peace Park Fall Festival,10/11/2026,,,,,,,,,FALSE
OctoberFeast at Peddler's Village,10/11/2026,10/12/2026,,,,,,,,FALSE
Paws and Pumpkin Awards,10/11/2026,,,,,,,,,FALSE
Picnic in the Plaza,10/11/2026,,,,,,,,,FALSE
Picnic in the Plaza,10/11/2026,,,,,,,,,FALSE
Reading Terminal's Scrapple and Apple Festival,10/11/2026,,,,,,,,,FALSE
Vendemia Wine Festival,10/11/2026,,,,,,,,,FALSE
Chestnut Hill Fall for the Arts Festival,10/12/2026,,,,,,,,,FALSE
OURfest,10/12/2026,,,,,,,,,FALSE
Sip and Sculpt Clay Awards,10/12/2026,,,,,,,,,FALSE
Seeding Freedom Storytime ,10/14/2026,,,,,,,,,FALSE
34th Philadelphia Film Festival (Fall),10/15/2026,10/25/2026,,Various locations,,,,,,FALSE
Philly Taste Fest,10/16/2026,10/17/2026,,"Greater Philadelphia Expo Center, 100 Station Ave, Oaks, PA 19456",,,,,,FALSE
40th Annual Chatsworth Cranberry Festival,10/17/2026,10/18/2026,,"3980 Route 563 / 3980 Main St, Chatsworth, NJ 08019-2212",,,,,,FALSE
40th Annual Chatsworth Cranberry Festival,10/17/2026,10/18/2026,,,,,,,,FALSE
Philadelphia Coffee Festival,10/17/2026,10/18/2026,,"23rd St Armory, 22 S 23rd St, Philadelphia, PA 19103",,,,,,FALSE
Philadelphia Open Studio Tours (POST)- East of Broad,10/17/2026,10/18/2026,,Various locations,,,,,,FALSE
Philly Bike Ride,10/17/2026,,,Start/finish by the Art Museum at 2600 Benjamin Franklin Pkwy / Eakins Oval; route is citywide.,,,,,,FALSE
Weirdo Odd Fest,10/17/2026,,,"Philadelphia Brewing Company, 2440 Frankford Ave, Philadelphia, PA 19125",Multi-Genre,https://www.instagram.com/weirdooddfest/?hl=en,WEIRDO,creepymozzarella@weirdo.pizza,,FALSE
Harvest Festival Awbury Arboretum,10/18/2026,,,,,,,,,FALSE
Manayunk Fall Festival,10/18/2026,,,,,,,,,FALSE
Mount Laurel Day,10/18/2026,,,"100 Mt Laurel Rd, Mt Laurel, NJ 08054-1507, United States",,,,,,FALSE
US Night Market,10/18/2026,,,,,,,,,FALSE
South West Philly Harvest Fest,10/19/2026,,,,,,,,,FALSE
Philadelphia Mosaic - Immigrant Film Showcase,10/23/2026,,,,,,,,,FALSE
Head of the Schuylkill Regatta,10/24/2026,10/25/2026,,,,,,,,FALSE
Philly Vegan Restaurant Week,10/24/2026,11/1/2026,,,,,,,,FALSE
YO! Book Fest - Young People's Book Festival,10/24/2026,,,"Joseph E. Coleman Northwest Regional Library, 68 W. Chelten Avenue, Philadelphia, PA 19144",,,,,,FALSE
2nd Annual Philly Coffee Festival,10/25/2026,10/26/2026,,,,,,,,FALSE
Dia De Los Muertos Day of Celebration,10/25/2026,,,,,,,,,FALSE
Greater Philadelphia Alliance Social Service Center,10/25/2026,,,,,,,,,FALSE
Kensington Derby & Arts Festival,10/25/2026,,,,,,,,,FALSE
People Power Media Fest,10/25/2026,,,,,,,,,FALSE
Tatse of the Phillipines,10/25/2026,,,,,,,,,FALSE
West Philly Tool Library Fund Raiser,10/25/2026,,,,,,,,,FALSE
WHYY Be My Neighbor Day,10/25/2026,,,,,,,,,FALSE
Awbury Arboretum Harvest Festival,10/26/2026,,,,,,,,,FALSE
Eastern State Penitentiary Fall Festival,10/26/2026,,,,,,,,,FALSE
Philly Cider Week,10/26/2026,,,,,,,,,FALSE
Root and Rhythms - 3rd Annual Harvest Festival,10/26/2026,,,,,,,,,FALSE
Stenton: Halloween Harvest Fest,10/26/2026,,,,,,,,,FALSE
Write Out,10/26/2026,,,,,,,,,FALSE
Young People's Book Festivals,10/26/2026,,,,,,,,,FALSE
Trick or Treating at Brandywine Senior Living,10/31/2026,,,,,,,,,FALSE
Philadelphia Museum of Art Contemporary Craft Show,11/5/2026,11/8/2026,,"Pennsylvania Convention Center, 1101 Arch St, Philadelphia, PA 19107",,,,,,FALSE
Germantown Night Market,11/7/2026,,,"5500 Germantown Ave, Philadelphia, PA 19144",Street Fairs,https://www.instagram.com/p/DVY8FoDEezm/,Maplewood Collective,maplewoodcollective@gmail.com,,FALSE
Linvilla Orchards Spring Foodtruck Frenzy,11/7/2026,11/8/2026,,"137 W Knowlton Rd, Media, PA 19063",,,Linvilla Orchards,info@linvilla.com,610-876-7116,FALSE
Peoplehood Parade and Pageant,11/7/2026,,,,,,,,,FALSE
The Philadelphia Veteran Parade,11/8/2026,,,"Center City to Eakins Oval, Philadelphia, PA",,,,,,FALSE
Rocky Run,11/14/2026,,,"Various, Starting at Philadelphia Museum of Art",,,,,,FALSE
The Inquirer Food Fest,11/14/2026,,,,,,,,,FALSE
Philadelphia Marathon Weekend,11/20/2026,11/22/2026,,Start/finish near 22nd St & Benjamin Franklin Pkwy (Eakins Oval) by the Art Museum,Marathon,https://philadelphiamarathon.com/,,info@philadelphiamarathon.com,,FALSE
Philadelphia Festivals of Trees Opening Ceremony,12/1/2026,,,,Seasonal,,,,,FALSE
Betsy Ross House Historic Holiday Tree Lighting,12/4/2026,,,,Seasonal,,,,,FALSE
City Hall Tree Lighting,12/4/2026,,,,Seasonal,,,,,FALSE
East Passsyunk Tree Lighting and Open Street,12/4/2026,,,,Family & Kids,,,,,FALSE
Evil Genius Beer Company Tree Lighting,12/4/2026,,,,,,,,,FALSE
Philadelphia Holiday Parade,12/4/2026,,,,,,,,,FALSE
Rose Tree Festival of Lights Media,12/4/2026,,,,Seasonal,,,,,FALSE
HACE Annual Tree Lighting Ceremony,12/5/2026,,,,,,,,,FALSE
Rittenhouse Square Tree Lighting,12/5/2026,,,,,,,,,FALSE
Cookie Dash,12/6/2026,12/7/2026,,,,,,,,FALSE
Fishtown Freeze,12/6/2026,,,,,,,,,FALSE
Liberty Flea Market,"6/6, 6/37, 6/28, 7/25, 7/26",,,,Arts & Crafts,https://www.cherrystreetpier.com/event/2026/05/liberty-flea-market-2026/,,,,FALSE
Parks on Tap,"Columbus Square Park, Philadelphia, PA 19147",,,,Food & Drink,https://www.parksontap.com/,,,,FALSE
CCD Open Streets: West Walnut (Every Sunday),Every Satruday April 5 - May 17,,,"Walnut St (15th–19th) & 18th St (Locust–Chestnut), Center City, Philadelphia, PA 19103",Street Fairs,,,,,FALSE
Souletri Sunday at Two Locals,every sunday march 22 through august 23rd,,,"Two Locals Brewing Co., 3675 Market Street, Philadelphia, PA 19104",Food & Drink,https://www.powerstreettheatre.com/what-is-souletri?utm_,Souletri,souletri@gmail.com,(267) 969-3837,FALSE
Pop-Ups At the Portal,Every Thursday from 5/7/2026 - 6/4/2026,,,,,,,,,FALSE
Twilight in the Gardens,"Fourth Friday of Every Month, May-October",,,,,,,,,FALSE
Sonsa Food Truck Fridays,Fridays,,,Triangle Park (23rd & South St),Food & Drink,https://www.instagram.com/sosnaphilly/,,,,
Festival of Fountains,May 8th - Sept 27th ,,,"1001 Longwood Road, Kennett Square, PA 19348",,https://longwoodgardens.org/gardens/our-seasons/festival-fountains,Longwood Gardens,questions@longwoodgardens.org,610.388.1000,FALSE
Philly Vegan Market,Monthly on weekends,,,,,,,,,FALSE
Uhuru Flea Market,Monthly Throughout 2026,,,,,,,,,FALSE
West Philly Bizarre Market,Select Saturdays April - November,,,"4300 Chester Ave, Philadelphia, PA 19104",Arts & Crafts,,,,,FALSE
Plus One Comedy Show,Third Thursday of Every Month,,,,,,,,,FALSE
Third Thursdays at The Navy Yard,"Third Thusday of Each Month, May-Oct",,,,,,,,,FALSE
East Market Night Market,Tuesdays from 4/21/2026 - 6/16/2026,,,,,,,,,FALSE
